Year,Week26,Week27,Week28,Week29,Week30,Week31,Week32
2022,90,60,71,73,34,67,77
2021,63,86,76,92,81,57,64
2020,118,70,52,60,78,64,72
2019,76,65,45,66,76,84,48
2018,77,78,98,107,83,65,76
2017,66,58,61,76,58,60,46
2016,56,75,60,74,70,69,49
2015,34,78,55,48,36,32,74
2014,46,23,100,66,80,79,68
2013,49,60,73,77,72,45,75
2012,46,70,38,63,48,67,49
2011,88,48,70,44,46,75,38
2010,92,92,93,81,19,42,34
2009,87,104,39,57,48,48,65
2008,66,62,53,68,73,96,24
2007,45,62,23,63,63,52,57
2006,61,114,76,80,78,36,91
2005,57,112,96,41,27,16,24
2004,51,66,28,65,52,38,77
2003,55,29,78,92,73,44,75
2002,43,46,54,86,25,70,71
2001,88,94,81,31,70,82,34
2000,37,52,31,13,15,51,71
1999,69,57,99,67,73,98,36
1998,34,53,36,35,70,48,50
1997,35,82,72,75,97,43,62
1996,55,26,46,47,69,65,83
1995,98,55,91,56,68,92,78
1994,74,111,111,73,100,68,56
1993,66,70,28,37,36,50,29
1992,77,66,85,44,61,58,66
1991,39,56,88,43,47,90,46
1990,55,67,59,17,33,63,64
1989,89,95,54,36,82,34,52
1988,63,61,66,40,47,50,47
1987,25,54,58,73,104,18,20
1986,82,80,55,55,47,66,62
1985,84,31,80,39,36,31,33
1984,22,35,61,18,29,72,5
1983,38,58,79,55,80,28,82
